"id","titulopincipal","titulooriginal","anolancamento","tempominutos","genero","notamedia","numerovotos","generoartista","personagem","nomeartista","anonascimento","anofalecimento","profissao","titulosmaisconhecidos"
"tt0466901","Naa Alludu","Naa Alludu","2005","\N","Romance","3.3","516","actress","Gagana","Genelia D'Souza","1987","\N","actress,producer","tt0473367,tt0843326,tt0456643,tt0807943"
"tt0466901","Naa Alludu","Naa Alludu","2005","\N","Romance","3.3","516","actor","KarthikMurugan","N.T. Rama Rao Jr.","1983","\N","actor,music_department,soundtrack","tt8178634,tt0907106,tt5098128,tt0375066"
"tt0468649","Animusu anima","Animusu anima","2005","97","Romance","5.7","33","actor","Tokiobrother","Shûgo Oshinari","1981","\N","actor","tt0338763,tt0406941,tt0339579,tt2952076"
"tt0468649","Animusu anima","Animusu anima","2005","97","Romance","5.7","33","actress","Suisister","Eihi Shiina","1976","\N","actress","tt1462667,tt0398563,tt1183732,tt0235198"
"tt0468649","Animusu anima","Animusu anima","2005","97","Romance","5.7","33","actor","Katsuya","Yusuke Kamiji","1979","\N","actor,soundtrack","tt1999167,tt1674778,tt0399102,tt1591638"
"tt0468649","Animusu anima","Animusu anima","2005","97","Romance","5.7","33","actor","Kaoru","Hitoshi Katô","\N","\N","actor,cinematographer","tt1885259,tt1200756,tt0468649,tt1606197"
"tt0468649","Animusu anima","Animusu anima","2005","97","Romance","5.7","33","actress","Miki","Maki Meguro","1972","\N","actress","tt0490435,tt0425153,tt0959314,tt0468649"
"tt0468649","Animusu anima","Animusu anima","2005","97","Romance","5.7","33","actor","Sui's boss","Gantsu Morita","1965","\N","actor","tt3185028,tt0953988,tt0468649,tt9586922"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actor","Kocabiyik","Hüseyin Baradan","1932","2004","actor","tt5547240,tt0392943,tt0386412,tt0392223"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actor","Pazi","Tamer Balci","1918","1993","actor","tt0324167,tt2311806,tt0323006,tt0172415"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actor","Nihat","Ayhan Isik","1929","1979","actor,producer,writer","tt0433932,tt0306271,tt0279853,tt0261771"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actor","Kobra Kerim","Turgut Özatay","1927","2002","actor,director","tt0263025,tt0429567,tt0431109,tt0183338"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actress","Leyla","Eva Bender","1944","\N","actress","tt0274869,tt1024894,tt0345427,tt0469556"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actress","Emel Sayin","Emel Sayin","1945","\N","actress,music_department,soundtrack","tt0252695,tt12509172,tt0428617,tt0253960"
"tt0469556","Sampiyon","Sampiyon","1970","66","Romance","6.6","37","actor","Melekyüzlü Victor","Haydar Karaer","1920","2014","actor","tt4053068,tt0181947,tt0274602,tt5547116"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actor","\N","Ahmet Karaca","1938","1999","actor","tt5547116,tt8377272,tt0334934,tt0274602"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actor","\N","Ali Demir","1921","1996","actor,assistant_director,camera_department","tt0438236,tt3251764,tt5986116,tt5547116"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actress","\N","Handan Adali","1922","1993","actress,producer,assistant_director","tt0354036,tt0316565,tt0302059,tt0306447"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actress","\N","Remziye Firtina","\N","\N","actress,music_department","tt8394056,tt8380426,tt8523262,tt1899118"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actress","\N","Talia Salti","1899","1971","actress","tt0263534,tt0429553,tt0408939,tt0405745"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actor","\N","Osman Alyanak","1916","1991","actor","tt0261751,tt5547116,tt4250502,tt0293808"
"tt0469601","Son nefes","Son nefes","1970","70","Romance","4.8","14","actor","\N","Gürdal Onur","1940","\N","actor,producer","tt0469650,tt0279693,tt20772022,tt0472675"
"tt0469617","Tatli hayâl","Tatli hayâl","1970","\N","Romance","6.2","42","actress","Nermin","Cavidan Dora","1941","\N","actress","tt0372157,tt0371007,tt0369401,tt0348441"
"tt0469617","Tatli hayâl","Tatli hayâl","1970","\N","Romance","6.2","42","actor","Murat KoçakVedat Demir","Sadri Alisik","1925","1995","actor,soundtrack,music_department","tt0466658,tt0287319,tt0182503,tt0185853"
"tt0469617","Tatli hayâl","Tatli hayâl","1970","\N","Romance","6.2","42","actress","Leyla Koçak","Esen Püsküllü","1946","\N","actress,writer","tt0430867,tt0433920,tt0277590,tt0277065"
"tt0469617","Tatli hayâl","Tatli hayâl","1970","\N","Romance","6.2","42","actor","Küçük Ali","Serkan Karan","\N","\N","actor","tt7519652,tt0469617"
"tt0470192","Aham Premasmi","Aham Premasmi","2005","\N","Romance","5.7","52","actor","Apsara's father","Ramakrishna","\N","\N","actor","tt4515200,tt2498312,tt5583454,tt0233270"
"tt0470192","Aham Premasmi","Aham Premasmi","2005","\N","Romance","5.7","52","actor","Ishwar's Guru","V. Ravichandran","1961","\N","actor,director,writer","tt0173189,tt0173042,tt0308793,tt0470192"
"tt0470192","Aham Premasmi","Aham Premasmi","2005","\N","Romance","5.7","52","actor","Ishwar","Balaji","\N","\N","actor","tt0470192"
"tt0470192","Aham Premasmi","Aham Premasmi","2005","\N","Romance","5.7","52","actress","Apsara","Aarti Chhabria","1982","\N","actress,director,producer","tt0319020,tt0318956,tt5614858,tt0811066"
"tt0470304","The Unusual Youth","Fei seung ching chun kei","2005","99","Romance","5.4","26","actor","Biggie","Raymond Ho-Yin Wong","1975","\N","actor","tt0434008,tt0375669,tt0202682,tt1156506"
"tt0470304","The Unusual Youth","Fei seung ching chun kei","2005","99","Romance","5.4","26","actress","Suki","Race Wong","1982","\N","actress,soundtrack","tt0434762,tt1092634,tt1347006,tt0778082"
"tt0470304","The Unusual Youth","Fei seung ching chun kei","2005","99","Romance","5.4","26","actress","May May","Yan Ng","1983","\N","actress,miscellaneous","tt0477930,tt0452931,tt9597838,tt0441511"
