id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos,generoartista,nomeartista,profissao
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42,actress,Cavidan Dora,actress
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42,actor,Sadri Alisik,"actor,soundtrack,music_department"
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42,actress,Esen Püsküllü,"actress,writer"
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42,actor,Serkan Karan,actor
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52,actor,Ramakrishna,actor
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52,actor,V. Ravichandran,"actor,director,writer"
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52,actor,Balaji,actor
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52,actress,Aarti Chhabria,"actress,director,producer"
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26,actor,Raymond Ho-Yin Wong,actor
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26,actress,Race Wong,"actress,soundtrack"
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26,actress,Yan Ng,"actress,miscellaneous"
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26,actor,Marco Lok,actor
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66,actress,Belgin Doruk,actress
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66,actor,Ayhan Isik,"actor,producer,writer"
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66,actor,Hulusi Kentmen,actor
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66,actress,Mualla Sürer,"actress,costume_designer"
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66,actor,Süleyman Turan,"actor,writer,assistant_director"
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66,actress,Nisa Serezli,actress
tt0470420,The Leap Years,The Leap Years,2008,103,Romance,5.9,154,actress,Joan Chen,"actress,director,writer"
tt0470420,The Leap Years,The Leap Years,2008,103,Romance,5.9,154,actress,Nadya Hutagalung,"actress,producer"
tt0470420,The Leap Years,The Leap Years,2008,103,Romance,5.9,154,actor,Jason Chan,"actor,director,writer"
tt0470420,The Leap Years,The Leap Years,2008,103,Romance,5.9,154,actor,Ananda Everingham,"actor,producer"
tt0470759,Shirin and Farhad,Ferhat ile Sirin,1970,112,Romance,5.7,61,actor,Cüneyt Arkin,"actor,writer,director"
